customer_id,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,RFM_avg,segment,cluster,cluster_label
CUST_00001,2023-05-11 06:00:00,3,419.35,230,2,2,2,222,2.0,Hibernating,0,Cluster_2_Mid
CUST_00002,2022-10-11 22:43:00,2,491.55999999999995,442,1,1,2,112,1.3333333333333333,Lost,0,Cluster_2_Mid
CUST_00003,2022-12-11 20:38:00,5,788.02,381,2,4,3,243,3.0,Cannot Lose,1,Cluster_1_High
CUST_00004,2023-10-21 21:35:00,6,1572.5,67,4,5,5,455,4.666666666666667,Loyal Customers,1,Cluster_1_High
CUST_00005,2023-12-08 18:33:00,6,2017.8400000000001,19,5,5,5,555,5.0,Champions,1,Cluster_1_High
CUST_00006,2023-12-27 06:42:00,6,708.97,0,5,5,3,553,4.333333333333333,Champions,1,Cluster_1_High
CUST_00007,2023-08-13 11:22:00,6,1216.79,136,3,5,5,355,4.333333333333333,At Risk,1,Cluster_1_High
CUST_00008,2023-10-27 08:15:00,2,268.71,61,4,1,1,411,2.0,Promising,0,Cluster_2_Mid
CUST_00009,2022-10-10 11:57:00,6,1512.01,443,1,5,5,155,3.6666666666666665,Lost,1,Cluster_1_High
CUST_00010,2023-11-19 12:00:00,5,974.78,38,5,4,4,544,4.333333333333333,Champions,1,Cluster_1_High
CUST_00011,2023-12-22 09:24:00,6,675.06,5,5,5,3,553,4.333333333333333,Champions,1,Cluster_1_High
CUST_00012,2023-12-25 13:52:00,5,1377.19,2,5,4,5,545,4.666666666666667,Champions,1,Cluster_1_High
CUST_00013,2023-02-20 16:06:00,2,187.35999999999999,310,2,1,1,211,1.3333333333333333,Hibernating,0,Cluster_2_Mid
CUST_00014,2022-01-03 07:12:00,3,559.91,723,1,2,2,122,1.6666666666666667,Hibernating,0,Cluster_2_Mid
CUST_00015,2023-09-18 06:39:00,5,855.46,100,4,4,4,444,4.0,Loyal Customers,1,Cluster_1_High
CUST_00016,2023-09-24 17:24:00,7,1105.07,94,4,5,4,454,4.333333333333333,Loyal Customers,1,Cluster_1_High
CUST_00017,2023-11-26 08:25:00,3,1409.7,31,5,2,5,525,4.0,New Customers,1,Cluster_1_High
