customer_id,customer_unique_id,customer_zip_code,customer_city,customer_state,customer_segment
CUST_00001,UNIQ_00001,93810,Sao Paulo,SC,Wholesale
CUST_00002,UNIQ_00002,24592,Belo Horizonte,MA,B2C
CUST_00003,UNIQ_00003,13278,Porto Alegre,SC,B2C
CUST_00004,UNIQ_00004,46048,Sao Paulo,BA,B2C
CUST_00005,UNIQ_00005,42098,Brasilia,ES,Wholesale
CUST_00006,UNIQ_00006,39256,Salvador,AM,B2C
CUST_00007,UNIQ_00007,28289,Belo Horizonte,BA,B2C
CUST_00008,UNIQ_00008,23434,Recife,MA,B2B
CUST_00009,UNIQ_00009,98696,Rio de Janeiro,DF,Wholesale
CUST_00010,UNIQ_00010,81482,Curitiba,SC,B2C
CUST_00011,UNIQ_00011,21395,Belo Horizonte,CE,B2C
CUST_00012,UNIQ_00012,87397,Salvador,RS,B2B
CUST_00013,UNIQ_00013,65302,Brasilia,CE,Wholesale
CUST_00014,UNIQ_00014,14165,Salvador,PE,Wholesale
CUST_00015,UNIQ_00015,13905,Recife,RS,B2B
CUST_00016,UNIQ_00016,22280,Manaus,BA,B2C
CUST_00017,UNIQ_00017,38657,Porto Alegre,ES,B2B
CUST_00018,UNIQ_00018,40495,Recife,PE,Wholesale
CUST_00019,UNIQ_00019,76237,Belo Horizonte,PA,Wholesale
CUST_00020,UNIQ_00020,88907,Rio de Janeiro,DF,B2C
CUST_00021,UNIQ_00021,13478,Manaus,PR,B2C
CUST_00022,UNIQ_00022,83563,Porto Alegre,SC,Wholesale
CUST_00023,UNIQ_00023,36062,Sao Paulo,GO,Wholesale
CUST_00024,UNIQ_00024,95181,Rio de Janeiro,GO,B2B
CUST_00025,UNIQ_00025,81426,Recife,BA,B2B
CUST_00026,UNIQ_00026,64987,Brasilia,SP,B2C
CUST_00027,UNIQ_00027,38893,Rio de Janeiro,DF,B2B
CUST_00028,UNIQ_00028,68878,Porto Alegre,SP,Wholesale
CUST_00029,UNIQ_00029,87236,Salvador,PR,B2B
CUST_00030,UNIQ_00030,46463,Salvador,CE,B2B
CUST_00031,UNIQ_00031,10851,Salvador,SP,Wholesale
CUST_00032,UNIQ_00032,30926,Recife,PE,B2B
CUST_00033,UNIQ_00033,65392,Porto Alegre,MG,Wholesale
CUST_00034,UNIQ_00034,54597,Sao Paulo,PA,B2B
CUST_00035,UNIQ_00035,46421,Curitiba,PR,Wholesale
CUST_00036,UNIQ_00036,30379,Fortaleza,SP,Wholesale
CUST_00037,UNIQ_00037,38221,Fortaleza,PR,B2C
CUST_00038,UNIQ_00038,54118,Brasilia,RS,B2C
CUST_00039,UNIQ_00039,23396,Porto Alegre,RS,B2B
CUST_00040,UNIQ_00040,22156,Manaus,MA,B2C
CUST_00041,UNIQ_00041,59797,Recife,SC,B2B
CUST_00042,UNIQ_00042,22676,Recife,SP,B2B
CUST_00043,UNIQ_00043,57052,Belo Horizonte,ES,B2B
CUST_00044,UNIQ_00044,55082,Salvador,MA,B2B
CUST_00045,UNIQ_00045,89131,Recife,DF,B2B
CUST_00046,UNIQ_00046,44671,Rio de Janeiro,MA,B2B
CUST_00047,UNIQ_00047,15695,Salvador,PR,B2C
CUST_00048,UNIQ_00048,70217,Curitiba,PA,B2C
CUST_00049,UNIQ_00049,80284,Brasilia,PE,B2C
CUST_00050,UNIQ_00050,26361,Rio de Janeiro,PE,Wholesale
CUST_00051,UNIQ_00051,59615,Rio de Janeiro,PE,Wholesale
CUST_00052,UNIQ_00052,20328,Curitiba,CE,B2B
CUST_00053,UNIQ_00053,82357,Belo Horizonte,PA,Wholesale
CUST_00054,UNIQ_00054,48427,Recife,CE,B2C
CUST_00055,UNIQ_00055,92397,Belo Horizonte,MG,B2B
CUST_00056,UNIQ_00056,91070,Recife,RJ,B2B
CUST_00057,UNIQ_00057,57400,Porto Alegre,SP,B2C
CUST_00058,UNIQ_00058,85674,Porto Alegre,GO,B2B
CUST_00059,UNIQ_00059,35203,Rio de Janeiro,SC,Wholesale
CUST_00060,UNIQ_00060,19116,Rio de Janeiro,MG,B2B
CUST_00061,UNIQ_00061,16006,Sao Paulo,MG,B2B
CUST_00062,UNIQ_00062,96673,Curitiba,PR,B2C
CUST_00063,UNIQ_00063,39871,Fortaleza,SC,Wholesale
CUST_00064,UNIQ_00064,47930,Porto Alegre,PA,Wholesale
CUST_00065,UNIQ_00065,20458,Curitiba,CE,B2B
CUST_00066,UNIQ_00066,40512,Rio de Janeiro,RS,Wholesale
CUST_00067,UNIQ_00067,23238,Belo Horizonte,RS,Wholesale
CUST_00068,UNIQ_00068,59823,Rio de Janeiro,PR,Wholesale
CUST_00069,UNIQ_00069,46434,Belo Horizonte,ES,Wholesale
CUST_00070,UNIQ_00070,69429,Recife,PR,Wholesale
CUST_00071,UNIQ_00071,93320,Fortaleza,RJ,B2B
CUST_00072,UNIQ_00072,57819,Manaus,CE,B2B
CUST_00073,UNIQ_00073,31319,Manaus,BA,Wholesale
CUST_00074,UNIQ_00074,58520,Manaus,CE,B2C
CUST_00075,UNIQ_00075,56566,Recife,PA,Wholesale
